StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2_1,Q3,Q4_1,Q5,Q6_1,Q8,condition,L_object,L_feature,M_object,M_feature,H_object,H_feature,L_object_cap,M_object_cap,H_object_cap,id
2018-02-07T14:59:58Z,2018-02-07 15:00:49,IP Address,100,50,True,2018-02-07 15:00:49,NA,NA,NA,NA,anonymous,EN,Yes,45,Yes,100,Yes,100,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,1
2018-02-07T15:09:16Z,2018-02-07 15:12:10,IP Address,100,173,True,2018-02-07 15:12:10,NA,NA,NA,NA,anonymous,EN,No,1,Yes,70,Yes,97,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,2
2018-02-07T15:01:05Z,2018-02-07 15:01:43,IP Address,100,38,True,2018-02-07 15:01:43,NA,NA,NA,NA,anonymous,EN,No,22,Yes,83,Yes,94,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,3
2018-02-07T14:59:05Z,2018-02-07 14:59:55,IP Address,100,49,True,2018-02-07 14:59:55,NA,NA,NA,NA,anonymous,EN,Yes,85,Yes,50,Yes,95,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,4
2018-02-07T14:59:49Z,2018-02-07 15:00:30,IP Address,100,40,True,2018-02-07 15:00:30,NA,NA,NA,NA,anonymous,EN,No,24,Yes,63,Yes,92,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,5
2018-02-07T15:53:25Z,2018-02-07 15:54:47,IP Address,100,81,True,2018-02-07 15:54:47,NA,NA,NA,NA,anonymous,EN,Yes,40,Yes,70,Yes,95,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,6
2018-02-07T16:24:31Z,2018-02-07 16:25:51,IP Address,100,80,True,2018-02-07 16:25:52,NA,NA,NA,NA,anonymous,EN,Yes,76,Yes,62,Yes,74,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,7
2018-02-07T15:13:59Z,2018-02-07 15:16:25,IP Address,100,145,True,2018-02-07 15:16:26,NA,NA,NA,NA,anonymous,EN,Yes,70,No,30,Yes,95,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,8
2018-02-07T15:00:37Z,2018-02-07 15:02:17,IP Address,100,99,True,2018-02-07 15:02:17,NA,NA,NA,NA,anonymous,EN,No,100,Yes,50,Yes,100,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,9
2018-02-07T15:24:46Z,2018-02-07 15:31:00,IP Address,100,373,True,2018-02-07 15:31:01,NA,NA,NA,NA,anonymous,EN,Yes,42,Yes,40,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,10
