StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q2_1,Q5_1,Q6_1,Q10,Q11,subject_initial,feature_initial,baseline_1,subject_2,feature_2,baseline_2,baseline_3,subject_3,feature_3,id
2017-11-17T14:48:47Z,2017-11-17 14:49:12,IP Address,100,24,True,2017-11-17 14:49:13,NA,NA,NA,NA,anonymous,EN,72,100,NA,NA,NA,feps,friendly,squirrel,dands,heavy,stone,NA,NA,NA,1
2017-11-17T14:34:41Z,2017-11-17 14:35:29,IP Address,100,48,True,2017-11-17 14:35:30,NA,NA,NA,NA,anonymous,EN,72,36,50,"feps,dands",NA,dands,heavy,stone,kobas,tasty,vegetable,dog,feps,friendly,2
2017-11-17T11:06:54Z,2017-11-17 11:07:06,IP Address,100,11,True,2017-11-17 11:07:06,NA,NA,NA,NA,anonymous,EN,87,62,96,wugs,NA,dands,heavy,stone,kobas,tasty,pizza,squirrel,feps,friendly,3
2017-11-17T14:33:30Z,2017-11-17 14:34:48,IP Address,100,77,True,2017-11-17 14:34:49,NA,NA,NA,NA,anonymous,EN,81,83,100,"kobas,feps,dands",Thank you!,feps,friendly,goat,kobas,tasty,vegetable,truck,dands,heavy,4
2017-11-17T10:15:51Z,2017-11-17 10:16:05,IP Address,100,13,True,2017-11-17 10:16:05,NA,NA,NA,NA,anonymous,EN,81,54,72,NA,NA,dands,heavy,bikes,kobas,tasty,pie,dogs,feps,friendly,5
2017-11-17T14:35:02Z,2017-11-17 14:35:38,IP Address,100,36,True,2017-11-17 14:35:39,NA,NA,NA,NA,anonymous,EN,75,83,27,"kobas,feps,dands",NA,feps,friendly,dog,dands,heavy,stone,vegetable,kobas,tasty,6
2017-11-17T11:06:31Z,2017-11-17 11:06:43,IP Address,100,12,True,2017-11-17 11:06:44,NA,NA,NA,NA,anonymous,EN,79,80,81,"bems,gazzers",NA,kobas,tasty,vegetable,dands,heavy,stone,dog,feps,friendly,7
2017-11-17T14:36:27Z,2017-11-17 14:36:50,IP Address,100,23,True,2017-11-17 14:36:51,NA,NA,NA,NA,anonymous,EN,90,99,98,"kobas,feps,dands",NA,kobas,tasty,vegetable,dands,heavy,stone,dog,feps,friendly,8
2017-11-17T14:34:47Z,2017-11-17 14:35:44,IP Address,100,57,True,2017-11-17 14:35:45,NA,NA,NA,NA,anonymous,EN,75,75,75,"kobas,dands,tomas",NA,kobas,tasty,vegetable,dands,heavy,stone,dog,feps,friendly,9
2017-11-17T14:35:21Z,2017-11-17 14:36:09,IP Address,100,48,True,2017-11-17 14:36:10,NA,NA,NA,NA,anonymous,EN,79,89,60,"kobas,feps,dands",NA,feps,friendly,goat,kobas,tasty,pizza,bike,dands,heavy,10
2017-11-17T14:35:50Z,2017-11-17 14:36:35,IP Address,100,44,True,2017-11-17 14:36:35,NA,NA,NA,NA,anonymous,EN,69,61,94,"kobas,feps,dands",NA,dands,heavy,stone,feps,friendly,squirrel,pizza,kobas,tasty,11
2017-11-17T14:35:02Z,2017-11-17 14:35:55,IP Address,100,52,True,2017-11-17 14:35:55,NA,NA,NA,NA,anonymous,EN,99,99,92,"kobas,feps,dands",NA,dands,heavy,truck,feps,friendly,goat,vegetable,kobas,tasty,12
2017-11-17T14:34:38Z,2017-11-17 14:35:14,IP Address,100,35,True,2017-11-17 14:35:14,NA,NA,NA,NA,anonymous,EN,35,34,54,"kobas,feps,dands",NA,kobas,tasty,pie,dands,heavy,bike,dog,feps,friendly,13
2017-11-17T14:35:00Z,2017-11-17 14:35:55,IP Address,100,55,True,2017-11-17 14:35:56,NA,NA,NA,NA,anonymous,EN,53,77,87,"kobas,feps,lorps",NA,dands,heavy,truck,kobas,tasty,pie,squirrel,feps,friendly,14
2017-11-17T10:16:34Z,2017-11-17 10:16:55,IP Address,100,21,True,2017-11-17 10:16:56,NA,NA,NA,NA,anonymous,EN,63,17,13,NA,NA,kobas,tasty,pizza,feps,friendly,squirrels,stones,dands,heavy,15
2017-11-17T14:34:37Z,2017-11-17 14:34:58,IP Address,100,21,True,2017-11-17 14:34:59,NA,NA,NA,NA,anonymous,EN,83,96,NA,NA,NA,feps,friendly,squirrel,dands,heavy,truck,NA,NA,NA,16
2017-11-17T10:20:28Z,2017-11-17 10:22:39,IP Address,100,130,True,2017-11-17 10:22:40,NA,NA,NA,NA,anonymous,EN,35,60,39,NA,NA,feps,friendly,goats,dands,heavy,trucks,vegetable,kobas,tasty,17
2017-11-17T14:33:19Z,2017-11-17 14:34:00,IP Address,100,41,True,2017-11-17 14:34:01,NA,NA,NA,NA,anonymous,EN,28,35,53,"kobas,feps,dands",NA,kobas,tasty,pie,feps,friendly,squirrel,truck,dands,heavy,18
2017-11-17T14:35:08Z,2017-11-17 14:35:45,IP Address,100,37,True,2017-11-17 14:35:46,NA,NA,NA,NA,anonymous,EN,69,83,72,"kobas,feps,dands",NA,kobas,tasty,pizza,dands,heavy,stone,squirrel,feps,friendly,19
2017-11-17T10:49:37Z,2017-11-17 10:50:07,Survey Preview,100,30,True,2017-11-17 10:50:08,NA,NA,NA,NA,preview,EN,49,70,46,"kobas,feps,dands",NA,feps,friendly,squirrel,kobas,tasty,pie,truck,dands,heavy,20
2017-11-17T14:34:38Z,2017-11-17 14:36:34,IP Address,100,115,True,2017-11-17 14:36:35,NA,NA,NA,NA,anonymous,EN,100,100,100,"kobas,feps,dands",NA,feps,friendly,squirrel,kobas,tasty,pie,truck,dands,heavy,21
