StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,tennis_1,skiing_1,podcast_1,driving_1,cook_at_home_1,dairy_products_1,go_to_gym_1,drink_coffee_1,gender,age,politics,zip,attention_check,Q11,id
2018-10-05T11:41:05Z,2018-10-05 11:43:15,100,129,True,2018-10-05 11:43:15,NA,anonymous,EN,35,75,38,76,12,32,34,20,44,30,89,65,95,60,77,Female,37,Republican,17011,"drink coffee,cook at home,go to the gym,drive to work",NA,1
2018-10-05T11:41:04Z,2018-10-05 11:43:47,100,163,True,2018-10-05 11:43:48,NA,anonymous,EN,70,75,45,90,50,50,40,40,55,90,65,85,70,50,75,Female,42,Democrat,44035,"drink coffee,cook at home,go to the gym,drive to work",NA,2
2018-10-05T11:40:26Z,2018-10-05 11:41:38,100,71,True,2018-10-05 11:41:38,NA,anonymous,EN,62,38,34,59,29,19,23,26,18,14,78,60,66,17,44,Female,37,Democrat,20906,"drink coffee,cook at home,go to the gym,drive to work",NA,3
2018-10-05T11:44:54Z,2018-10-05 11:47:05,100,130,True,2018-10-05 11:47:06,NA,anonymous,EN,80,30,25,85,5,65,15,5,79,10,70,30,85,15,95,Male,24,Independent,92324,"drink coffee,cook at home,go to the gym,drive to work",Everything was fine.,4
2018-10-05T11:40:34Z,2018-10-05 11:42:31,100,117,True,2018-10-05 11:42:32,NA,anonymous,EN,42,35,30,73,15,25,43,20,27,55,63,38,79,23,78,Male,37,Democrat,35661,"drink coffee,cook at home,go to the gym,drive to work",NA,5
2018-10-05T11:43:06Z,2018-10-05 11:45:39,100,152,True,2018-10-05 11:45:39,NA,anonymous,EN,56,35,42,38,11,15,23,20,35,30,82,90,91,31,76,Male,26,Democrat,77418,"drink coffee,cook at home,go to the gym,drive to work",NA,6
2018-10-05T11:40:32Z,2018-10-05 11:42:02,100,90,True,2018-10-05 11:42:02,NA,anonymous,EN,91,99,62,98,91,64,94,80,96,31,97,98,89,100,90,Male,21,Republican,17603,drink coffee,NA,7
2018-10-05T11:41:20Z,2018-10-05 11:44:15,100,175,True,2018-10-05 11:44:15,NA,anonymous,EN,40,70,40,30,20,60,10,20,20,40,60,70,60,50,80,Female,32,Democrat,38732,"drink coffee,cook at home,go to the gym,drive to work",NA,8
2018-10-05T11:56:36Z,2018-10-05 11:58:49,100,133,True,2018-10-05 11:58:49,NA,anonymous,EN,52,44,14,85,14,34,10,9,20,38,64,66,92,23,45,Male,25,Democrat,61801,"drink coffee,cook at home,go to the gym,drive to work",Thanks for the HIT! Instructions were clear. Good luck!,9
2018-10-05T11:45:31Z,2018-10-05 11:47:51,100,139,True,2018-10-05 11:47:51,NA,anonymous,EN,50,65,65,80,5,25,5,5,10,50,90,50,85,20,70,Male,38,Republican,33759,"drink coffee,cook at home,go to the gym,drive to work",Everything worked,10
2018-10-05T11:44:21Z,2018-10-05 11:45:56,100,95,True,2018-10-05 11:45:56,NA,anonymous,EN,65,28,46,64,31,34,14,24,30,50,69,44,45,28,58,Male,27,Independent,76001,"watch TV,read newspapers,go to the movies",NA,11
2018-10-05T11:43:23Z,2018-10-05 11:44:57,100,94,True,2018-10-05 11:44:57,NA,anonymous,EN,66,53,52,83,5,16,18,9,20,36,65,49,89,27,75,Female,25,Independent,90036,"drink coffee,cook at home,go to the gym,drive to work",NA,12
