"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","30BUDKLTXEKAAT0N7Q312P4DJZVE5X","A3K4JTRUZQD096","Approved","Fri Oct 05 10:42:42 PDT 2018","Fri Oct 05 10:46:16 PDT 2018","Mon Oct 08 10:46:16 PDT 2018","2018-10-08 17:46:38 UTC","","","214","100% (1/1)","100% (1/1)","100% (1/1)","59713796"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","30LSNF239VKUR1JMLQRUPXZTRIA2IS","A1HI9B1MMCMVAZ","Approved","Fri Oct 05 10:53:25 PDT 2018","Fri Oct 05 10:56:24 PDT 2018","Mon Oct 08 10:56:24 PDT 2018","2018-10-08 17:56:38 UTC","","","179","100% (1/1)","100% (1/1)","100% (1/1)","54899730"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","30X31N5D64F8QIHM3HENZHOEC44SAH","A36JTIZPOO2HO5","Approved","Fri Oct 05 10:40:45 PDT 2018","Fri Oct 05 10:42:43 PDT 2018","Mon Oct 08 10:42:43 PDT 2018","2018-10-08 17:43:37 UTC","","","118","100% (1/1)","100% (1/1)","100% (1/1)","92840460"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","30ZX6P7VF9KQMC3S38CU1YET4XZ2J4","A10F0OVV7A0U74","Approved","Fri Oct 05 10:40:17 PDT 2018","Fri Oct 05 10:43:11 PDT 2018","Mon Oct 08 10:43:11 PDT 2018","2018-10-08 17:43:37 UTC","","","174","100% (1/1)","100% (1/1)","100% (1/1)","98678534"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","3137ONMDKHU8QQP7OMMS6MV2988GEG","A2XH803LQTVROS","Approved","Fri Oct 05 10:40:41 PDT 2018","Fri Oct 05 10:42:24 PDT 2018","Mon Oct 08 10:42:24 PDT 2018","2018-10-08 17:42:38 UTC","","","103","100% (1/1)","100% (1/1)","100% (1/1)","60226870"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","317HQ483I8HQGN8F79PEHL2R2D1NI4","A2JOHICL072IY3","Approved","Fri Oct 05 10:40:43 PDT 2018","Fri Oct 05 10:44:01 PDT 2018","Mon Oct 08 10:44:01 PDT 2018","2018-10-08 17:44:37 UTC","","","198","100% (1/1)","100% (1/1)","100% (1/1)","54817620"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","3180JW2OT51IL9MFLRESZ5H5O7Q5J8","A2C6HMH2FDM2CI","Approved","Fri Oct 05 10:40:22 PDT 2018","Fri Oct 05 10:49:11 PDT 2018","Mon Oct 08 10:49:11 PDT 2018","2018-10-08 17:49:37 UTC","","","529","100% (1/1)","100% (1/1)","100% (1/1)","38751510"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","31LM9EDVOMHMBYSLPRAETMHRFSQNJG","A265ZA1Q2R2TGT","Approved","Fri Oct 05 10:40:44 PDT 2018","Fri Oct 05 10:44:20 PDT 2018","Mon Oct 08 10:44:20 PDT 2018","2018-10-08 17:44:38 UTC","","","216","100% (3/3)","100% (2/2)","100% (1/1)","55399227"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","31QNSG6A5SI8OW4FIGWY8ZMNZ2R876","A24FHD04JCEDJQ","Approved","Fri Oct 05 10:40:28 PDT 2018","Fri Oct 05 10:43:32 PDT 2018","Mon Oct 08 10:43:32 PDT 2018","2018-10-08 17:43:38 UTC","","","184","100% (2/2)","100% (2/2)","100% (1/1)","78636079"
"36MUZ9VAE6R2SMHMWUGICHXHEGVED7","3QWFS36IISWI0JHQLHQTVOQMPQLQBO","Estimation Game","Make some judgements on given statements","language game, game, survey","$0.50","Fri Oct 05 10:40:01 PDT 2018","200","BatchId:3392274;OriginalHitTemplateId:920937340;","900","259200","Fri Oct 12 10:40:01 PDT 2018","","","31QTRG6Q2U2C98ZXR6O97Y1ASB0PY8","AZ83REGVQHA5D","Approved","Fri Oct 05 10:41:17 PDT 2018","Fri Oct 05 10:48:10 PDT 2018","Mon Oct 08 10:48:10 PDT 2018","2018-10-08 17:48:37 UTC","","","413","100% (1/1)","100% (1/1)","100% (1/1)","76110519"
