StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,tennis_1,skiing_1,podcast_1,driving_1,cook_at_home_1,dairy_products_1,go_to_gym_1,drink_coffee_1,gender,age,politics,zip,attention_check,Q11,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What proportion of people do you think like big cities?

 

You can drag the slider bar below to show your results.","What proportion of people do you think own their homes?

 

You can drag the slider bar below to show your results.","What proportion of people do you think like Macs more than PCs?


 

You can drag the slider bar below to show your results.","What proportion of people do you think get news on their phone?

 

You can drag the slider bar below to show your results.","What proportion of people do you think prefer a vegetarian diet?

 

You can drag the slider bar below to show your results.","What proportion of people do you think smoke cigarettes?


 

You can drag the slider bar below to show your results.","What proportion of people do you think brings their own bags to the grocery store?

 

You can drag the slider bar below to show your results.","What proportion of people do you think play tennis?

 

You can drag the slider bar below to show your results.","What proportion of people do you think like to go skiing?


 

You can drag the slider bar below to show your results.","What proportion of people do you think listen to podcasts? 


 

You can drag the slider bar below to show your results.","What proportion of people do you think drive to work?


 

You can drag the slider bar below to show your results.","What proportion of people do you think cook at home?


 

You can drag the slider bar below to show your results.","What proportion of people do you think consume dairy products?


 

You can drag the slider bar below to show your results.","What proportion of people do you think go to the gym?


 

You can drag the slider bar below to show your results.","What proportion of people do you think like to drink coffee?


 

You can drag the slider bar below to show your results.",What is your gender? Please select one from below.,What is your age? Please enter your age below.,What is your political affiliation?,What is your zip code? Please enter your 5-digit US zip code.,"The list below contains some habits that we asked you about earlier and some that we didn't. 

Please select the ones that we asked you about previously.",Let us know if you have any comment about this HIT (optional):,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""MTurkCode""}"
2018-10-03 15:44:04,2018-10-03 15:48:10,Survey Preview,,100,246,True,2018-10-03 15:48:11,R_3RfOYZRPh1NHqVg,,,,,41.8014068603515625,-87.60050201416015625,preview,EN,24,19,52,67,6,19,33,5,4,21,62,52,50,52,79,Female,24,Democrat,60615-5543,"drink coffee,cook at home,go to the gym,drive to work",,64759607
2018-10-03 15:48:13,2018-10-03 15:49:43,Survey Preview,,100,89,True,2018-10-03 15:49:43,R_sbVxctPkjBF4MgN,,,,,41.8014068603515625,-87.60050201416015625,preview,EN,32,71,62,40,56,61,81,70,60,41,47,67,83,17,32,Female,24,Democrat,60615,watch TV,,20452827
2018-10-04 12:22:21,2018-10-04 12:26:56,IP Address,128.135.98.235,100,274,True,2018-10-04 12:26:57,R_tXVvBHxLaIvWSAN,,,,,41.7803955078125,-87.60269927978515625,anonymous,EN,52,56,67,19,32,54,28,62,44,59,57,35,24,70,23,Male,33,Democrat,60642,"drink coffee,cook at home,drive to work",t's great,58560779
2018-10-05 09:19:29,2018-10-05 09:22:43,Survey Preview,,100,194,True,2018-10-05 09:22:43,R_1LNZZpG4DH21NN8,,,,,41.7803955078125,-87.60269927978515625,preview,EN,74,83,86,75,85,64,41,39,35,56,51,87,74,71,77,Other/Non-conforming,22,Independent,60615,cook at home,,24540610
2018-10-05 11:40:26,2018-10-05 11:41:38,IP Address,71.206.8.9,100,71,True,2018-10-05 11:41:38,R_3GvLL2ghVt56zdM,,,,,39.0525970458984375,-77.121002197265625,anonymous,EN,62,38,34,59,29,19,23,26,18,14,78,60,66,17,44,Female,37,Democrat,20906,"drink coffee,cook at home,go to the gym,drive to work",,10822542
2018-10-05 11:40:40,2018-10-05 11:41:51,IP Address,98.176.238.152,100,71,True,2018-10-05 11:41:52,R_1CdQQGK0NQJ7kUI,,,,,32.56939697265625,-117.01580047607421875,anonymous,EN,37,17,50,40,4,6,10,3,14,5,60,40,60,7,30,Male,28,Democrat,91913,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",,81381630
2018-10-05 11:40:35,2018-10-05 11:42:01,IP Address,70.94.39.183,100,85,True,2018-10-05 11:42:01,R_2tDRrTxWA3YagbV,,,,,39.269195556640625,-94.38909912109375,anonymous,EN,40,44,15,80,7,15,11,6,33,2,52,81,92,26,70,Female,28,Democrat,64068,"drink coffee,cook at home,go to the gym,drive to work",,78297068
2018-10-05 11:40:32,2018-10-05 11:42:02,IP Address,72.92.32.32,100,90,True,2018-10-05 11:42:02,R_1NrxTR2JeDvqN7G,,,,,39.9828033447265625,-75.17960357666015625,anonymous,EN,91,99,62,98,91,64,94,80,96,31,97,98,89,100,90,Male,21,Republican,17603,drink coffee,,12116862
2018-10-05 11:40:39,2018-10-05 11:42:04,IP Address,68.118.236.166,100,85,True,2018-10-05 11:42:05,R_3G32WNspyb38jMG,,,,,42.131805419921875,-71.9730987548828125,anonymous,EN,49,35,54,59,29,32,26,21,27,21,61,72,83,40,76,Female,35,Independent,01524,"drink coffee,cook at home,go to the gym,drive to work",,50789175
2018-10-05 11:40:35,2018-10-05 11:42:12,IP Address,73.239.107.7,100,96,True,2018-10-05 11:42:12,R_1EaDaLLSXGzI1ti,,,,,48.3636016845703125,-121.9803009033203125,anonymous,EN,53,25,36,70,16,18,13,26,43,29,70,65,76,60,69,Female,24,Democrat,98277,"drink coffee,cook at home,go to the gym,drive to work",,84399458
