StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,tennis_1,skiing_1,podcast_1,driving_1,cook_at_home_1,dairy_products_1,go_to_gym_1,drink_coffee_1,gender,age,politics_1,zip,attention_check,Q11,id
2018-10-31T11:05:07Z,2018-10-31 11:07:07,100,120,True,2018-10-31 11:07:07,NA,anonymous,EN,40,40,10,83,10,45,25,15,30,50,60,70,80,35,80,Female,20,2,14469,"drink coffee,cook at home,go to the gym,drive to work",NA,1
2018-10-31T11:05:11Z,2018-10-31 11:07:15,100,123,True,2018-10-31 11:07:15,NA,anonymous,EN,70,33,20,75,25,15,50,10,15,50,70,40,80,60,65,Male,24,3,95608,"drink coffee,cook at home,go to the gym,drive to work",NA,2
2018-10-31T11:05:11Z,2018-10-31 11:07:14,100,122,True,2018-10-31 11:07:14,NA,anonymous,EN,65,82,82,77,51,67,51,71,83,84,81,88,88,79,91,Female,57,4,12771,"drink coffee,cook at home,go to the gym,drive to work",NA,3
2018-10-31T11:05:15Z,2018-10-31 11:08:23,100,188,True,2018-10-31 11:08:23,NA,anonymous,EN,54,44,35,79,29,46,5,15,20,36,47,46,60,22,56,Female,43,2,33190,"drink coffee,cook at home,go to the gym,drive to work",NA,4
2018-10-31T11:05:17Z,2018-10-31 11:06:53,100,96,True,2018-10-31 11:06:53,NA,anonymous,EN,60,41,50,82,19,14,13,6,34,74,57,77,90,48,96,Male,35,2,14226,"drink coffee,cook at home,go to the gym,drive to work",NA,5
2018-10-31T11:05:19Z,2018-10-31 11:06:42,100,83,True,2018-10-31 11:06:43,NA,anonymous,EN,18,32,25,78,11,34,27,20,59,66,78,76,92,38,79,Male,36,4,45385,"drink coffee,cook at home,go to the gym,drive to work",NA,6
2018-10-31T11:05:19Z,2018-10-31 11:08:26,100,187,True,2018-10-31 11:08:26,NA,anonymous,EN,43,57,24,60,3,24,14,2,6,3,93,96,93,3,66,Male,59,5,16823,"drink coffee,cook at home,go to the gym,drive to work",NA,7
2018-10-31T11:05:19Z,2018-10-31 11:07:52,100,152,True,2018-10-31 11:07:52,NA,anonymous,EN,76,61,30,77,9,16,21,14,14,32,69,96,75,19,74,Male,65,6,80222,"cook at home,go to the gym,drive to work",NA,8
2018-10-31T11:05:19Z,2018-10-31 11:07:41,100,142,True,2018-10-31 11:07:43,NA,anonymous,EN,50,40,20,90,5,50,25,8,12,15,80,90,95,40,60,Male,18,5,37075,"drink coffee,cook at home,go to the gym,drive to work",NA,9
2018-10-31T11:05:20Z,2018-10-31 11:07:01,100,100,True,2018-10-31 11:07:01,NA,anonymous,EN,35,48,52,46,15,16,24,4,9,8,62,25,84,22,53,Female,26,3,22102,"drink coffee,cook at home,go to the gym,drive to work",NA,10
2018-10-31T11:05:20Z,2018-10-31 11:08:24,100,183,True,2018-10-31 11:08:24,NA,anonymous,EN,40,35,30,40,15,20,3,20,10,5,75,60,85,15,70,Male,64,1,27407,"drink coffee,cook at home,go to the gym,drive to work",NA,11
2018-10-31T11:05:20Z,2018-10-31 11:06:47,100,86,True,2018-10-31 11:06:47,NA,anonymous,EN,46,55,13,63,28,10,14,33,33,40,58,51,39,34,50,Female,22,1,62221,"drink coffee,cook at home,go to the gym,drive to work",NA,12
2018-10-31T11:05:21Z,2018-10-31 11:07:11,100,109,True,2018-10-31 11:07:11,NA,anonymous,EN,50,48,60,41,17,27,22,13,5,19,82,54,62,28,67,Male,29,2,11358,"drink coffee,cook at home,go to the gym,drive to work",NA,13
2018-10-31T11:05:21Z,2018-10-31 11:06:54,100,93,True,2018-10-31 11:06:54,NA,anonymous,EN,30,10,20,59,6,35,4,6,12,24,50,68,66,8,44,Male,27,4,06511,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,14
2018-10-31T11:05:22Z,2018-10-31 11:07:26,100,124,True,2018-10-31 11:07:26,NA,anonymous,EN,39,28,10,73,10,23,27,10,30,48,40,83,60,22,79,Male,31,4,31405,"drink coffee,cook at home,go to the gym,drive to work",NA,15
2018-10-31T11:05:23Z,2018-10-31 11:07:20,100,116,True,2018-10-31 11:07:20,NA,anonymous,EN,31,45,20,77,9,28,3,3,11,17,69,97,89,34,82,Male,38,6,49009,"drink coffee,cook at home,go to the gym,drive to work",NA,16
2018-10-31T11:05:25Z,2018-10-31 11:08:05,100,160,True,2018-10-31 11:08:05,NA,anonymous,EN,54,25,43,97,35,30,51,26,52,85,83,61,85,48,89,Male,35,4,27403,"drink coffee,cook at home,go to the gym,drive to work","The question you asked me was if people ""like coffee"", not if they ""drink coffee"", I believe.",17
2018-10-31T11:05:25Z,2018-10-31 11:07:21,100,115,True,2018-10-31 11:07:21,NA,anonymous,EN,65,55,69,85,40,42,40,31,38,38,89,77,71,55,70,Female,26,3,44240,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,18
2018-10-31T11:05:26Z,2018-10-31 11:09:15,100,228,True,2018-10-31 11:09:15,NA,anonymous,EN,75,65,55,60,25,20,20,30,30,35,85,80,80,40,70,Male,20,6,80027,"drink coffee,cook at home,go to the gym,drive to work",NA,19
2018-10-31T11:05:26Z,2018-10-31 11:09:08,100,221,True,2018-10-31 11:09:08,NA,anonymous,EN,46,39,16,59,3,18,12,27,40,13,42,70,67,14,55,Male,36,1,62864,"drink coffee,cook at home,go to the gym,watch TV,read newspapers",NA,20
2018-10-31T11:05:26Z,2018-10-31 11:07:14,100,107,True,2018-10-31 11:07:14,NA,anonymous,EN,69,33,79,68,32,23,26,7,31,10,39,60,71,61,88,Female,30,4,95035,"drink coffee,cook at home,go to the gym,drive to work",NA,21
2018-10-31T11:05:26Z,2018-10-31 11:07:18,100,112,True,2018-10-31 11:07:18,NA,anonymous,EN,35,53,59,78,21,36,36,38,18,25,69,84,72,64,79,Male,30,4,21209,"watch TV,go to the movies",NA,22
2018-10-31T11:05:27Z,2018-10-31 11:07:59,100,152,True,2018-10-31 11:07:59,NA,anonymous,EN,50,40,10,75,20,45,35,40,25,85,91,80,78,65,85,Male,54,6,48441,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,23
2018-10-31T11:05:27Z,2018-10-31 11:08:06,100,159,True,2018-10-31 11:08:06,NA,anonymous,EN,52,54,42,100,27,65,17,11,27,30,87,51,27,20,70,Female,26,4,78233,"drink coffee,cook at home,go to the gym,drive to work",N/A,24
2018-10-31T11:05:27Z,2018-10-31 11:09:21,100,233,True,2018-10-31 11:09:21,NA,anonymous,EN,75,40,50,95,45,40,40,30,60,30,80,65,85,65,85,Male,37,2,48135,"drink coffee,cook at home,go to the gym,drive to work",NA,25
2018-10-31T11:05:28Z,2018-10-31 11:10:53,100,324,True,2018-10-31 11:10:53,NA,anonymous,EN,50,65,75,85,40,50,85,30,30,50,75,60,50,50,90,Female,63,2,27713,"drink coffee,cook at home,go to the gym,drive to work",No comments,26
2018-10-31T11:05:30Z,2018-10-31 11:07:55,100,144,True,2018-10-31 11:07:55,NA,anonymous,EN,33,53,19,35,10,35,5,2,5,15,50,35,75,7,45,Male,34,4,45040,"drink coffee,cook at home,go to the gym,drive to work",NA,27
2018-10-31T11:05:30Z,2018-10-31 11:07:47,100,137,True,2018-10-31 11:07:47,NA,anonymous,EN,58,47,30,59,8,16,26,9,19,18,40,77,92,27,67,Female,34,2,02144,"drink coffee,cook at home,go to the gym,drive to work",NA,28
2018-10-31T11:05:30Z,2018-10-31 11:07:30,100,120,True,2018-10-31 11:07:30,NA,anonymous,EN,37,60,34,64,28,22,40,36,19,32,67,87,79,35,76,Female,40,1,15221,"drink coffee,cook at home,go to the gym,drive to work",no issues,29
2018-10-31T11:05:30Z,2018-10-31 11:07:07,100,96,True,2018-10-31 11:07:07,NA,anonymous,EN,65,48,70,41,76,30,28,45,42,90,41,50,44,70,61,Male,33,2,78723,"drink coffee,go to the gym,read newspapers,go to the movies",NA,30
2018-10-31T11:05:31Z,2018-10-31 11:06:58,100,87,True,2018-10-31 11:06:59,NA,anonymous,EN,60,28,39,71,12,55,25,13,27,22,58,37,80,35,76,Male,29,2,14225,"drink coffee,cook at home,go to the gym,drive to work",NA,31
2018-10-31T11:05:31Z,2018-10-31 11:09:06,100,215,True,2018-10-31 11:09:07,NA,anonymous,EN,47,13,20,39,15,20,12,4,25,32,82,56,71,61,69,Female,51,7,32818,"drink coffee,cook at home,go to the gym,drive to work",NA,32
2018-10-31T11:05:31Z,2018-10-31 11:09:44,100,253,True,2018-10-31 11:09:45,NA,anonymous,EN,55,38,30,65,30,20,24,15,22,35,75,91,76,40,42,Male,32,2,16412,"drink coffee,cook at home,go to the gym,drive to work",NA,33
2018-10-31T11:05:31Z,2018-10-31 11:07:12,100,100,True,2018-10-31 11:07:12,NA,anonymous,EN,53,30,37,77,26,6,91,26,22,47,50,78,72,58,67,Female,26,4,93309,"watch TV,read newspapers,go to the movies,go to bars",n/a,34
