StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,big_cities_1,computer_preference_1,cook_at_home_1,drink_coffee_1,own_homes_1,podcast_1,gender,age,politics_1,zip,attention_check,Q11,id
2019-01-07T14:30:48Z,2019-01-07 14:32:57,100,129,True,2019-01-07 14:32:58,NA,anonymous,EN,75,65,90,45,85,50,Female,31,3,68102,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,1
2019-01-07T14:37:45Z,2019-01-07 14:41:42,100,237,True,2019-01-07 14:41:43,NA,anonymous,EN,90,91,97,86,85,94,Male,34,2,89129,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,2
2019-01-07T14:33:50Z,2019-01-07 14:38:06,100,255,True,2019-01-07 14:38:06,NA,anonymous,EN,100,74,100,100,100,100,Female,23,4,80031,"like big cities,cook at home,like to drink coffee,listen to podcasts","Sort of bizzare statments... no qualification on the action of the inhabitants... such as: ... most like to drink coffee. So, if you take the staments ""as made"" the indicaton is ""all""",3
2019-01-07T14:41:28Z,2019-01-07 14:43:15,100,107,True,2019-01-07 14:43:15,NA,anonymous,EN,65,75,75,70,59,60,Female,36,3,14424,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,4
2019-01-07T14:54:07Z,2019-01-07 14:55:42,100,95,True,2019-01-07 14:55:43,NA,anonymous,EN,35,66,96,96,82,17,Male,32,7,48092,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,5
2019-01-07T14:20:11Z,2019-01-07 14:23:00,100,169,True,2019-01-07 14:23:01,NA,anonymous,EN,75,50,80,50,65,42,Female,54,1,11211,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,6
2019-01-07T16:11:45Z,2019-01-07 16:14:51,100,185,True,2019-01-07 16:14:51,NA,anonymous,EN,64,73,89,85,60,84,Male,32,3,43537,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,7
2019-01-07T15:03:20Z,2019-01-07 15:04:24,100,63,True,2019-01-07 15:04:24,NA,anonymous,EN,86,65,85,86,78,73,Male,46,2,11703,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,8
2019-01-07T14:37:26Z,2019-01-07 14:39:35,100,128,True,2019-01-07 14:39:36,NA,anonymous,EN,60,75,85,90,60,55,Male,25,2,33470,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,9
2019-01-07T15:16:36Z,2019-01-07 15:18:03,100,87,True,2019-01-07 15:18:03,NA,anonymous,EN,51,60,86,76,55,50,Female,36,7,47635,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,10
2019-01-07T15:22:23Z,2019-01-07 15:26:27,100,243,True,2019-01-07 15:26:27,NA,anonymous,EN,40,50,95,80,70,75,Female,61,1,30630,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,11
2019-01-07T14:53:39Z,2019-01-07 14:56:32,100,173,True,2019-01-07 14:56:33,NA,anonymous,EN,75,80,91,75,80,75,Female,21,3,10308,"like big cities,cook at home,like to drink coffee,listen to podcasts",It was interesting and I would like to know the reasoning behind the study.,12
2019-01-07T14:24:33Z,2019-01-07 14:26:03,100,90,True,2019-01-07 14:26:04,NA,anonymous,EN,60,50,80,90,70,50,Female,26,7,76227,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,13
2019-01-07T14:21:46Z,2019-01-07 14:24:15,100,149,True,2019-01-07 14:24:16,NA,anonymous,EN,61,60,70,70,80,60,Female,45,5,29621,"like big cities,cook at home,like to drink coffee,listen to podcasts,watch TV",NA,14
2019-01-07T14:22:33Z,2019-01-07 14:24:45,100,131,True,2019-01-07 14:24:45,NA,anonymous,EN,47,60,58,88,82,24,Male,27,2,43140,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,15
2019-01-07T15:14:50Z,2019-01-07 15:17:15,100,145,True,2019-01-07 15:17:16,NA,anonymous,EN,60,40,90,61,80,25,Male,41,3,84075,"like big cities,cook at home,like to drink coffee,listen to podcasts",NA,16
2019-01-07T15:05:51Z,2019-01-07 15:09:50,100,238,True,2019-01-07 15:09:50,NA,anonymous,EN,67,42,91,75,97,50,Male,37,5,75024,"like big cities,cook at home,like to drink coffee,listen to podcasts",Good survey,17
