StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,big_cities_1,computer_preference_1,cook_at_home_1,drink_coffee_1,own_homes_1,podcast_1,gender,age,politics_1,zip,attention_check,Q11,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are visiting a country called Akar.

One of the Akarians tell you: ""Akarians like big cities."" 

 

 

What proportion of Akarians do you think like big cities?

 

You can drag the slider bar below to show your results.","You are visiting a country called Boskotia.

One of the Boskotians tells you: ""Boskotians like Macs more than PCs."" 

 

 

What proportion of Boskotians do you think like Macs more than PCs?

 

You can drag the slider bar below to show your results.","You are visiting a country called Sibut.

One of the Sibuti tells you: "" Sibuti cook at home ."" 

 

 

What proportion of Sibuti do you think cook at home?


 

You can drag the slider bar below to show your results.","You are visiting a country called Dargau.

One of the Dargauns tells you: ""Dargauns like to drink coffee."" 

 

 

What proportion of Dargauns do you think like to drink coffee?


 

You can drag the slider bar below to show your results.","You are visiting a country called Tulverd.

One of the Tulverdics tells you: ""Tulverdics own their homes."" 

 

 

What proportion of Tulverdics do you think own their homes?


 

You can drag the slider bar below to show your results.","You are visiting a country called Penseca.

One of the Pensecans tells you: ""Pensecans listen to podcasts."" 

 

 

What proportion of Pensecans do you think listen to podcasts?


 

You can drag the slider bar below to show your results.",What is your gender? Please select one from below.,What is your age? Please enter your age below.,"On a seven-point scale, from very liberal to very conservative, where would you place yourself?

 

You can drag the slider bar below to show your result. - 1",What is your zip code? Please enter your 5-digit US zip code.,"The list below contains some habits that we asked you about earlier and some that we didn't. 

Please select the ones that we asked you about previously.",Let us know if you have any comment about this HIT (optional):,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""MTurkCode""}"
2019-01-04 21:05:08,2019-01-04 21:05:52,Survey Preview,,100,44,True,2019-01-04 21:05:53,R_3hbaZZntBes0wDu,,,,,41.8022003173828125,-87.6006011962890625,preview,EN,91,31,96,84,75,18,Female,33,3,60615,"like big cities,cook at home,like to drink coffee,listen to podcasts",,77259334
2019-01-07 08:35:09,2019-01-07 08:36:57,Survey Preview,,100,107,True,2019-01-07 08:36:57,R_3dRZzo0bkMEz2DY,,,,,41.7812957763671875,-87.6051025390625,preview,EN,85,89,79,19,61,59,Male,50,7,34327,"like big cities,cook at home,like to drink coffee,listen to podcasts",,81095249
2019-01-07 08:37:00,2019-01-07 08:42:42,Survey Preview,,100,342,True,2019-01-07 08:42:42,R_8dIzvbUZtiwpTUZ,,,,,41.7812957763671875,-87.6051025390625,preview,EN,86,83,84,14,15,72,Male,34,4,45672,"like big cities,cook at home,like to drink coffee,listen to podcasts",,53931662
2019-01-07 08:42:45,2019-01-07 08:43:32,Survey Preview,,100,47,True,2019-01-07 08:43:32,R_3P4OJC9Y6XzQdsQ,,,,,41.7812957763671875,-87.6051025390625,preview,EN,12,15,41,85,85,84,Female,20,2,89723,"like big cities,cook at home,like to drink coffee,listen to podcasts",,26229401
2019-01-07 08:43:34,2019-01-07 08:44:30,Survey Preview,,100,56,True,2019-01-07 08:44:30,R_32KK05JzcSmK6bj,,,,,41.7812957763671875,-87.6051025390625,preview,EN,58,22,76,89,93,50,Male,20,4,60612,"like big cities,cook at home,like to drink coffee,listen to podcasts",,88099205
2019-01-07 14:19:07,2019-01-07 14:20:28,IP Address,69.207.209.216,100,81,True,2019-01-07 14:20:29,R_YY6CSmSNLlIeUPT,,,,,42.462493896484375,-75.049102783203125,anonymous,EN,65,68,55,94,71,45,Male,24,4,13751,"like big cities,cook at home,like to drink coffee,listen to podcasts",,38878679
2019-01-07 14:19:20,2019-01-07 14:20:29,IP Address,216.125.160.51,100,69,True,2019-01-07 14:20:30,R_3FJ7rWT3ZgPTQL2,,,,,42.0384063720703125,-88.26059722900390625,anonymous,EN,81,80,95,88,95,81,Male,32,2,60102,"like big cities,cook at home,like to drink coffee,listen to podcasts,watch TV",,30343073
2019-01-07 14:19:42,2019-01-07 14:20:43,IP Address,173.76.210.184,100,60,True,2019-01-07 14:20:43,R_3qfgTXsZwMCQCDa,,,,,42.282196044921875,-71.43389892578125,anonymous,EN,31,8,67,7,9,2,Female,23,1,01760,"cook at home,listen to podcasts,read newspapers",,23110123
2019-01-07 14:19:28,2019-01-07 14:20:47,IP Address,23.111.188.5,100,79,True,2019-01-07 14:20:48,R_3kLHRvJ4mpZtPEA,,,,,39.212493896484375,-76.0802001953125,anonymous,EN,60,65,93,78,90,49,Female,29,5,99501,like to drink coffee,,35083749
2019-01-07 14:19:22,2019-01-07 14:20:54,IP Address,66.172.203.23,100,92,True,2019-01-07 14:20:54,R_2s6kK6pMhRkZrfc,,,,,41.8939971923828125,-94.68000030517578125,anonymous,EN,83,89,10,95,91,88,Female,37,7,50058,"like big cities,cook at home,like to drink coffee",,33012956
2019-01-07 14:19:29,2019-01-07 14:20:57,IP Address,68.115.108.98,100,87,True,2019-01-07 14:20:57,R_tYZ5wcUueVGUNqh,,,,,44.1537933349609375,-93.996002197265625,anonymous,EN,70,70,70,70,75,65,Female,28,1,56001,"like big cities,cook at home,like to drink coffee,watch TV,read newspapers,go to the movies",,89949596
2019-01-07 14:19:39,2019-01-07 14:20:59,IP Address,174.101.212.155,100,80,True,2019-01-07 14:21:00,R_0lj8AcGRkM06UtH,,,,,39.910400390625,-83.8274993896484375,anonymous,EN,88,80,91,93,60,61,Male,36,2,45504,"like big cities,cook at home,like to drink coffee,listen to podcasts",,73131495
2019-01-07 14:20:12,2019-01-07 14:21:08,IP Address,73.92.5.208,100,55,True,2019-01-07 14:21:08,R_3QQcP3G2JuW8paf,,,,,38.34820556640625,-121.95379638671875,anonymous,EN,91,84,91,94,87,87,Female,35,2,95687,"like big cities,cook at home,like to drink coffee,listen to podcasts,go to the movies",,64594743
2019-01-07 14:19:18,2019-01-07 14:21:08,IP Address,162.244.74.2,100,110,True,2019-01-07 14:21:08,R_wWWxET52sO1UBvX,,,,,39.121307373046875,-90.33380126953125,anonymous,EN,72,58,80,77,65,72,Male,35,3,62002,"like big cities,cook at home,like to drink coffee,listen to podcasts",,84990382
2019-01-07 14:19:14,2019-01-07 14:21:15,IP Address,73.8.86.239,100,121,True,2019-01-07 14:21:16,R_b72OUjMTiQd1bJ7,,,,,41.970306396484375,-87.70420074462890625,anonymous,EN,80,81,81,60,61,53,Male,29,2,60625,"like big cities,cook at home,like to drink coffee,listen to podcasts",,28642561
2019-01-07 14:20:03,2019-01-07 14:21:24,IP Address,63.249.62.177,100,81,True,2019-01-07 14:21:24,R_BEb857WPBf4ZCY9,,,,,33.8307037353515625,-118.38320159912109375,anonymous,EN,57,66,63,75,61,49,Female,28,1,90277,"like big cities,cook at home,like to drink coffee,listen to podcasts",,24730885
2019-01-07 14:19:25,2019-01-07 14:21:25,IP Address,174.85.255.66,100,120,True,2019-01-07 14:21:25,R_cMUNcmmufSVjDbz,,,,,34.831695556640625,-86.8867034912109375,anonymous,EN,59,59,71,65,65,69,Female,23,6,35613,"like big cities,cook at home,like to drink coffee,listen to podcasts",,27888929
2019-01-07 14:19:56,2019-01-07 14:21:29,IP Address,98.251.169.14,100,93,True,2019-01-07 14:21:30,R_2D7Wgwhibb00WuP,,,,,34.9441070556640625,-89.854400634765625,anonymous,EN,66,56,73,92,58,80,Female,34,5,38016,"like big cities,cook at home,like to drink coffee,listen to podcasts",none,48258864
2019-01-07 14:20:28,2019-01-07 14:21:36,IP Address,174.80.78.84,100,68,True,2019-01-07 14:21:36,R_3Lc3ubbHuUGuk1z,,,,,32.9163970947265625,-85.936798095703125,anonymous,EN,8,10,6,14,8,7,Female,35,3,36266,listen to podcasts,,84105122
2019-01-07 14:19:32,2019-01-07 14:21:43,IP Address,68.3.253.181,100,131,True,2019-01-07 14:21:43,R_aXjCkAO43hfF2RX,,,,,33.7169036865234375,-112.23799896240234375,anonymous,EN,64,81,91,94,86,82,Female,37,7,85383,"like big cities,cook at home,like to drink coffee,listen to podcasts",na,89955165
2019-01-07 14:19:24,2019-01-07 14:21:45,IP Address,162.219.30.58,100,141,True,2019-01-07 14:21:45,R_1K6C4apeC4YmFXR,,,,,35.22900390625,-80.8419036865234375,anonymous,EN,80,64,66,71,65,47,Female,31,3,28134,like to drink coffee,nice,64922266
2019-01-07 14:20:27,2019-01-07 14:21:49,IP Address,66.24.240.118,100,82,True,2019-01-07 14:21:49,R_2q4uVsZkUM180GK,,,,,42.092803955078125,-79.2440032958984375,anonymous,EN,13,12,78,27,15,20,Female,47,2,14701,"like big cities,cook at home,like to drink coffee,listen to podcasts",Na,36232939
2019-01-07 14:19:53,2019-01-07 14:21:49,IP Address,192.30.158.1,100,116,True,2019-01-07 14:21:49,R_1H8iCwp24fS4rBC,,,,,42.3206939697265625,-84.0334014892578125,anonymous,EN,69,66,71,68,82,63,Male,32,2,48104,"like big cities,cook at home,listen to podcasts",None,63214909
2019-01-07 14:19:50,2019-01-07 14:21:51,IP Address,171.49.211.226,100,121,True,2019-01-07 14:21:52,R_2XmkmCiFFGpN8FF,,,,,9.966705322265625,76.233306884765625,anonymous,EN,64,83,43,43,43,69,Female,23,5,90001,"cook at home,watch TV,go to the movies",,28683379
