StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,gender_watchsports_1,gender_desserts_1,age_nightlynews_1,age_onlineshopping_1,control_drive_1,control_windowseat_1,gender,age,attention_check,Q11,id
2018-05-09T09:17:47Z,2018-05-09 09:18:59,IP Address,100,72,True,2018-05-09 09:18:59,NA,NA,NA,NA,anonymous,EN,85,90,95,75,95,75,Female,26,watch nightly news on tv,NA,1
2018-05-09T09:27:21Z,2018-05-09 09:28:43,IP Address,100,81,True,2018-05-09 09:28:43,NA,NA,NA,NA,anonymous,EN,55,46,30,30,77,20,Female,40,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,2
2018-05-09T09:17:21Z,2018-05-09 09:19:57,IP Address,100,156,True,2018-05-09 09:19:58,NA,NA,NA,NA,anonymous,EN,63,73,60,58,65,27,Male,27,watch professional sports,great survey,3
2018-05-09T09:24:05Z,2018-05-09 09:26:27,IP Address,100,142,True,2018-05-09 09:26:28,NA,NA,NA,NA,anonymous,EN,75,59,97,55,94,51,Male,68,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,4
2018-05-09T09:28:52Z,2018-05-09 09:31:29,IP Address,100,157,True,2018-05-09 09:31:30,NA,NA,NA,NA,anonymous,EN,66,67,61,71,76,75,Male,33,watch professional sports,It went well,5
2018-05-09T09:25:45Z,2018-05-09 09:26:48,IP Address,100,63,True,2018-05-09 09:26:49,NA,NA,NA,NA,anonymous,EN,40,100,81,60,89,90,Female,29,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,6
2018-05-09T09:42:22Z,2018-05-09 09:44:05,IP Address,100,102,True,2018-05-09 09:44:05,NA,NA,NA,NA,anonymous,EN,95,85,85,60,65,90,Male,29,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",Great survey!,7
2018-05-09T09:31:35Z,2018-05-09 09:33:42,IP Address,100,127,True,2018-05-09 09:33:42,NA,NA,NA,NA,anonymous,EN,80,80,70,85,85,70,Male,23,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,8
2018-05-09T09:30:22Z,2018-05-09 09:33:10,IP Address,100,168,True,2018-05-09 09:33:11,NA,NA,NA,NA,anonymous,EN,60,100,50,80,50,50,Male,48,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,9
2018-05-09T09:43:19Z,2018-05-09 09:44:04,IP Address,100,45,True,2018-05-09 09:44:05,NA,NA,NA,NA,anonymous,EN,100,100,100,100,100,100,Male,29,"watch nightly news on tv,like the window seat on the plane,like desserts,drive to work,watch professional sports,read newspapers",NA,10
2018-05-09T09:16:22Z,2018-05-09 09:17:06,IP Address,100,44,True,2018-05-09 09:17:07,NA,NA,NA,NA,anonymous,EN,74,48,62,71,65,71,Male,35,watch nightly news on tv,NA,11
2018-05-09T09:37:51Z,2018-05-09 09:39:10,IP Address,100,78,True,2018-05-09 09:39:10,NA,NA,NA,NA,anonymous,EN,75,60,79,75,78,71,Male,33,watch professional sports,NA,12
2018-05-09T09:14:00Z,2018-05-09 09:15:33,IP Address,100,92,True,2018-05-09 09:15:34,NA,NA,NA,NA,anonymous,EN,64,43,50,86,84,22,Female,28,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,13
2018-05-09T09:17:17Z,2018-05-09 09:18:21,IP Address,100,63,True,2018-05-09 09:18:21,NA,NA,NA,NA,anonymous,EN,60,65,62,64,63,65,Female,38,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,14
2018-05-09T09:33:27Z,2018-05-09 09:34:32,IP Address,100,64,True,2018-05-09 09:34:32,NA,NA,NA,NA,anonymous,EN,80,93,79,85,79,85,Female,40,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,15
2018-05-09T09:14:01Z,2018-05-09 09:15:23,IP Address,100,82,True,2018-05-09 09:15:23,NA,NA,NA,NA,anonymous,EN,91,97,93,76,91,36,Male,30,watch professional sports,NA,16
2018-05-09T09:22:38Z,2018-05-09 09:24:13,IP Address,100,94,True,2018-05-09 09:24:13,NA,NA,NA,NA,anonymous,EN,19,40,21,20,40,50,Male,20,like the window seat on the plane,NA,17
2018-05-09T09:24:09Z,2018-05-09 09:26:44,IP Address,100,154,True,2018-05-09 09:26:44,NA,NA,NA,NA,anonymous,EN,92,100,32,63,90,50,Male,25,drive to work,NA,18
2018-05-09T09:16:32Z,2018-05-09 09:20:37,IP Address,100,245,True,2018-05-09 09:20:38,NA,NA,NA,NA,anonymous,EN,40,88,75,50,55,35,Female,66,drive to work,NA,19
2018-05-09T09:15:05Z,2018-05-09 09:16:21,IP Address,100,76,True,2018-05-09 09:16:22,NA,NA,NA,NA,anonymous,EN,82,88,64,71,81,69,Female,46,like the window seat on the plane,NA,20
2018-05-09T09:15:42Z,2018-05-09 09:16:58,IP Address,100,76,True,2018-05-09 09:17:00,NA,NA,NA,NA,anonymous,EN,68,65,100,63,100,50,Male,41,"watch nightly news on tv,like online shopping,like the window seat on the plane,drive to work,watch professional sports,read newspapers",NA,21
2018-05-09T09:20:07Z,2018-05-09 09:26:52,IP Address,100,404,True,2018-05-09 09:26:53,NA,NA,NA,NA,anonymous,EN,51,60,60,61,70,64,Male,49,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,22
2018-05-09T09:33:23Z,2018-05-09 09:35:28,IP Address,100,125,True,2018-05-09 09:35:28,NA,NA,NA,NA,anonymous,EN,60,61,52,50,78,53,Female,25,watch professional sports,NA,23
2018-05-09T09:24:25Z,2018-05-09 09:25:45,IP Address,100,80,True,2018-05-09 09:25:46,NA,NA,NA,NA,anonymous,EN,63,67,50,78,86,29,Male,37,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,24
2018-05-09T09:23:39Z,2018-05-09 09:25:31,IP Address,100,112,True,2018-05-09 09:25:32,NA,NA,NA,NA,anonymous,EN,87,91,85,81,93,77,Male,33,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,25
2018-05-09T09:39:37Z,2018-05-09 09:41:16,IP Address,100,99,True,2018-05-09 09:41:17,NA,NA,NA,NA,anonymous,EN,85,95,40,90,85,70,Female,21,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,26
2018-05-09T09:23:08Z,2018-05-09 09:24:05,IP Address,100,56,True,2018-05-09 09:24:06,NA,NA,NA,NA,anonymous,EN,78,75,77,75,72,66,Female,27,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,27
2018-05-09T09:35:50Z,2018-05-09 09:37:27,IP Address,100,97,True,2018-05-09 09:37:28,NA,NA,NA,NA,anonymous,EN,80,90,90,80,80,50,Male,27,"watch nightly news on tv,like online shopping,like the window seat on the plane,drive to work,watch professional sports,read newspapers",NA,28
2018-05-09T09:20:48Z,2018-05-09 09:21:48,IP Address,100,59,True,2018-05-09 09:21:48,NA,NA,NA,NA,anonymous,EN,76,87,82,82,96,63,Female,31,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,29
2018-05-09T09:19:02Z,2018-05-09 09:20:56,IP Address,100,113,True,2018-05-09 09:20:56,NA,NA,NA,NA,anonymous,EN,68,62,79,77,89,60,Other/Non-conforming,24,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",Professional Sports should have been Online Shopping on the attention check; I didn't see Online Shopping on there...?,30
2018-05-09T09:24:39Z,2018-05-09 09:25:53,IP Address,100,74,True,2018-05-09 09:25:54,NA,NA,NA,NA,anonymous,EN,74,89,63,59,78,83,Female,54,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,31
2018-05-09T09:33:14Z,2018-05-09 09:34:15,IP Address,100,60,True,2018-05-09 09:34:16,NA,NA,NA,NA,anonymous,EN,61,71,80,80,79,26,Female,35,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,32
2018-05-09T09:33:13Z,2018-05-09 09:34:42,IP Address,100,89,True,2018-05-09 09:34:42,NA,NA,NA,NA,anonymous,EN,65,75,65,65,45,60,Male,43,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",I have no additional comments at this time.,33
2018-05-09T09:16:55Z,2018-05-09 09:20:32,IP Address,100,217,True,2018-05-09 09:20:33,NA,NA,NA,NA,anonymous,EN,87,86,91,98,90,95,Male,46,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,34
