StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,big_cities_1,computer_preference_1,cook_at_home_1,dairy_products_1,go_to_gym_1,news_phone_1,gender,age,politics_1,zip,attention_check,Q11,id
2018-11-21T15:04:58Z,2018-11-21 15:06:36,100,98,True,2018-11-21 15:06:37,NA,anonymous,EN,50,50,50,50,50,50,Female,26,3,32211,"like big cities,cook at home,go to the gym,consume dairy products",NA,1
2018-11-21T23:15:12Z,2018-11-21 23:17:52,100,159,True,2018-11-21 23:17:52,NA,anonymous,EN,65,57,87,84,42,55,Male,48,7,28017,"like big cities,cook at home,go to the gym,consume dairy products",NA,2
2018-11-21T21:01:01Z,2018-11-21 21:04:20,100,198,True,2018-11-21 21:04:21,NA,anonymous,EN,90,72,96,94,70,100,Female,35,7,78413,"like big cities,cook at home,go to the gym,consume dairy products",NA,3
2018-11-21T23:35:10Z,2018-11-21 23:37:06,100,115,True,2018-11-21 23:37:08,NA,anonymous,EN,55,55,90,60,45,75,Male,40,4,40517,"like big cities,cook at home,go to the gym,consume dairy products",NA,4
2018-11-21T14:17:41Z,2018-11-21 14:18:38,100,56,True,2018-11-21 14:18:38,NA,anonymous,EN,14,65,25,65,40,48,Female,33,5,91730,"like big cities,cook at home,go to the gym,go to the movies,go to bars",NA,5
2018-11-21T13:59:34Z,2018-11-21 14:05:09,100,334,True,2018-11-21 14:05:09,NA,anonymous,EN,77,77,78,86,81,85,Male,30,6,20005,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,6
2018-11-21T23:09:05Z,2018-11-21 23:15:18,100,372,True,2018-11-21 23:15:20,NA,anonymous,EN,65,60,80,90,40,85,Male,26,5,96826,"like big cities,cook at home,go to the gym,consume dairy products","For the previous page 'We asked you what people liked, choose from the list that you remember', wasn't one of the hypothetical claims ""(forgot the ethnicity) consume news on their phones""? That wasn't of the available responses to choose from. Just an observation?",7
2018-11-22T05:45:40Z,2018-11-22 05:47:49,100,128,True,2018-11-22 05:47:49,NA,anonymous,EN,64,66,90,80,60,75,Female,27,1,15241,"like big cities,cook at home,go to the gym,consume dairy products",NA,8
2018-11-22T04:41:07Z,2018-11-22 04:44:36,100,208,True,2018-11-22 04:44:36,NA,anonymous,EN,55,80,90,90,65,70,Female,60,2,48622,"like big cities,cook at home,go to the gym,consume dairy products",NA,9
2018-11-21T14:30:48Z,2018-11-21 14:32:57,100,128,True,2018-11-21 14:32:57,NA,anonymous,EN,83,70,64,77,54,94,Female,37,6,33860,"like big cities,cook at home,go to the gym,consume dairy products",NA,10
2018-11-22T06:10:59Z,2018-11-22 06:12:12,100,73,True,2018-11-22 06:12:12,NA,anonymous,EN,93,81,87,96,83,87,Male,27,4,11354,"like big cities,cook at home,consume dairy products,read newspapers",NA,11
2018-11-21T14:40:51Z,2018-11-21 14:42:51,100,119,True,2018-11-21 14:42:51,NA,anonymous,EN,98,93,96,96,92,99,Female,41,1,39503,"like big cities,cook at home,go to the gym,consume dairy products",NA,12
2018-11-21T14:10:13Z,2018-11-21 14:12:26,100,132,True,2018-11-21 14:12:26,NA,anonymous,EN,85,80,95,75,100,90,Female,36,6,77566,"like big cities,cook at home,go to the gym,consume dairy products",NA,13
2018-11-22T07:25:19Z,2018-11-22 07:27:17,100,117,True,2018-11-22 07:27:17,NA,anonymous,EN,51,51,51,51,51,51,Male,41,6,33065,"like big cities,cook at home,go to the gym,consume dairy products",NA,14
2018-11-21T21:07:52Z,2018-11-21 21:09:35,100,102,True,2018-11-21 21:09:35,NA,anonymous,EN,78,56,75,85,60,64,Male,31,3,10452,"like big cities,cook at home,go to the gym,consume dairy products",NA,15
2018-11-22T04:31:55Z,2018-11-22 04:33:38,100,103,True,2018-11-22 04:33:38,NA,anonymous,EN,82,77,88,92,72,66,Female,56,2,53597,"like big cities,cook at home,go to the gym,consume dairy products",NA,16
