StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q2_1,Q5_1,Q6_1,Q10,Q11,condition,L_novel,L_feature,L_comparison,M_novel,M_feature,M_comparison,H_novel,H_feature,H_comparison,id
2018-02-19T12:05:04Z,2018-02-19 12:06:05,IP Address,100,61,True,2018-02-19 12:06:06,NA,NA,NA,NA,anonymous,EN,50,50,100,"kobas,feps,dands",NA,L1M3H2,kobas,tasty,vegetables,feps,friendly,goats,dands,heavy,trucks,1
2018-02-19T16:12:39Z,2018-02-19 16:13:23,IP Address,100,44,True,2018-02-19 16:13:24,NA,NA,NA,NA,anonymous,EN,50,50,85,"kobas,feps,dands",NA,L1M2H3,kobas,tasty,vegetables,dands,heavy,rocks,feps,friendly,puppies,2
2018-02-19T12:21:41Z,2018-02-19 12:22:27,IP Address,100,45,True,2018-02-19 12:22:28,NA,NA,NA,NA,anonymous,EN,50,20,60,"kobas,feps,dands",NA,L1M2H3,kobas,tasty,vegetables,dands,heavy,rocks,feps,friendly,puppies,3
2018-02-19T13:06:49Z,2018-02-19 13:07:24,IP Address,100,35,True,2018-02-19 13:07:25,NA,NA,NA,NA,anonymous,EN,91,89,93,"kobas,dands",NA,L1M2H3,kobas,tasty,vegetables,dands,heavy,rocks,feps,friendly,puppies,4
2018-02-19T11:46:24Z,2018-02-19 11:47:10,IP Address,100,45,True,2018-02-19 11:47:10,NA,NA,NA,NA,anonymous,EN,92,57,91,"kobas,feps",NA,L1M3H2,kobas,tasty,vegetables,feps,friendly,goats,dands,heavy,trucks,5
2018-02-19T13:12:05Z,2018-02-19 13:12:42,IP Address,100,37,True,2018-02-19 13:12:43,NA,NA,NA,NA,anonymous,EN,85,69,95,"kobas,feps,dands",NA,L2M1H3,dands,heavy,bikes,kobas,tasty,fruits,feps,friendly,puppies,6
2018-02-19T17:50:24Z,2018-02-19 17:52:16,IP Address,100,111,True,2018-02-19 17:52:16,NA,NA,NA,NA,anonymous,EN,5,15,90,"kobas,feps,dands",NA,L3M2H1,feps,friendly,squirrels,dands,heavy,rocks,kobas,tasty,pizzas,7
2018-02-19T19:25:51Z,2018-02-19 19:26:18,IP Address,100,27,True,2018-02-19 19:26:19,NA,NA,NA,NA,anonymous,EN,31,65,94,"kobas,feps,dands",NA,L3M2H1,feps,friendly,squirrels,dands,heavy,rocks,kobas,tasty,pizzas,8
2018-02-19T16:37:49Z,2018-02-19 16:39:12,IP Address,100,82,True,2018-02-19 16:39:12,NA,NA,NA,NA,anonymous,EN,66,50,45,kobas,NA,L1M2H3,kobas,tasty,vegetables,dands,heavy,rocks,feps,friendly,puppies,9
2018-02-19T14:33:35Z,2018-02-19 14:34:37,IP Address,100,62,True,2018-02-19 14:34:37,NA,NA,NA,NA,anonymous,EN,87,71,88,"kobas,feps,dands",NA,L2M3H1,dands,heavy,bikes,feps,friendly,goats,kobas,tasty,pizzas,10
